track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
62850,62850,542129.5625,GalaxyProperties_SFR_GE_0_z0.0.txt
160173,160173,417618.46875,GalaxyProperties_SFR_GE_0_z0.0.txt
161108,161108,45905864.0,GalaxyProperties_SFR_GE_0_z0.0.txt
26278478,26278478,13611622.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4110688,4110688,449788.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
1472137,1472137,306213.84375,GalaxyProperties_SFR_GE_0_z0.0.txt
4082709,4082709,3012095.75,GalaxyProperties_SFR_GE_0_z0.0.txt
7409426,7409426,315150.03125,GalaxyProperties_SFR_GE_0_z0.0.txt
9773226,9773226,117659.984375,GalaxyProperties_SFR_GE_0_z0.0.txt
41742452,41742452,862641.3125,GalaxyProperties_SFR_GE_0_z0.0.txt
1473175,1473175,24821194.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1473177,1473177,1022301.4375,GalaxyProperties_SFR_GE_0_z0.0.txt
4076038,4076038,263022.1875,GalaxyProperties_SFR_GE_0_z0.0.txt
162442,162442,1451239.125,GalaxyProperties_SFR_GE_0_z0.0.txt
750552,750552,195519328.0,GalaxyProperties_SFR_GE_0_z0.0.txt
2862615,2862615,15174862.0,GalaxyProperties_SFR_GE_0_z0.0.txt
7476587,7476587,392001.375,GalaxyProperties_SFR_GE_0_z0.0.txt
352748,352748,60546936.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1480736,1480736,4122567.5,GalaxyProperties_SFR_GE_0_z0.0.txt
5562294,5562294,3674566.0,GalaxyProperties_SFR_GE_0_z0.0.txt
7427647,7427647,116915.3046875,GalaxyProperties_SFR_GE_0_z0.0.txt
26271526,26271526,374128.96875,GalaxyProperties_SFR_GE_0_z0.0.txt
1717475,1717475,943662.875,GalaxyProperties_SFR_GE_0_z0.0.txt
2835543,2835543,1227238.375,GalaxyProperties_SFR_GE_0_z0.0.txt
13547647,13547647,369958.75,GalaxyProperties_SFR_GE_0_z0.0.txt
26263094,26263094,588002.0625,GalaxyProperties_SFR_GE_0_z0.0.txt
1484471,1484471,4103503.75,GalaxyProperties_SFR_GE_0_z0.0.txt
160654,160654,1787240.25,GalaxyProperties_SFR_GE_0_z0.0.txt
1484502,1484502,4656356.5,GalaxyProperties_SFR_GE_0_z0.0.txt
1486411,1486411,1059237.75,GalaxyProperties_SFR_GE_0_z0.0.txt
7440404,7440404,3593544.5,GalaxyProperties_SFR_GE_0_z0.0.txt
12776505,12776505,324086.25,GalaxyProperties_SFR_GE_0_z0.0.txt
1487809,1487809,11152379.0,GalaxyProperties_SFR_GE_0_z0.0.txt
