population,subhalo_id,track_id,is_central,DoR,stellar_mass_msun,r50_kpc,dcont_0p3cMpc,dcont_1cMpc,dcont_3cMpc,dev_0p3cMpc,dev_1cMpc,dev_3cMpc
satellite,8057005,8057005,False,0.6787278566633401,1625159040.0,0.8955001831054688,30672.130294630348,1647.1183327824178,77.80700453123676,4.554407666529186,2.23017592692179,0.8493912502843932
satellite,10571683,10571683,False,0.6680773258759971,28813631488.0,1.6727447509765625,29950.94824757098,1697.7387910446744,77.97671469935861,4.437378384025546,2.312617106659935,0.8523080533486631
satellite,13736,13736,False,0.6507552584864124,12200893440.0,2.590179443359375,430.17419990364687,1024.6643769874884,51.05850871361685,-0.3530833583841021,1.2164387896056934,0.3896657345484999
satellite,1283,1283,False,0.6363664465748146,7242450432.0,1.3561248779296875,12349.4249464682,622.0791222196982,28.532372353135717,1.5811042278698209,0.560782865348981,0.002509771593842913
satellite,26620,26620,False,0.6173019414010313,7105800704.0,3.269195556640625,16021.606269190297,1553.6133251170234,92.6118447674377,2.1770047320126484,2.0778923758045322,1.103841551317455
satellite,25850,25850,False,0.6657124844476187,47398031360.0,2.25067138671875,21576.94037441348,1267.1540572804095,75.77526765750163,3.078492459075756,1.6113608429403954,0.8144718556206292
satellite,9581,9581,False,0.6915810848661282,8657754112.0,1.3370513916015625,29515.97901548927,1392.104474214917,70.22277907777877,4.366794074073233,1.8148568233103417,0.7190414174630833
satellite,185825,185825,False,0.6589066725443175,7369339904.0,1.1806488037109375,26865.4649351931,1309.618343661418,70.2039798796232,3.9366838649413634,1.6805187681383786,0.7187183162641817
satellite,83855,83855,False,0.6538871999543966,17393594368.0,2.750396728515625,875.1460132869362,618.3851997783105,80.07260878716511,-0.28087588696003457,0.554766892076841,0.8883301159354479
satellite,415368,415368,False,0.6877238228986977,25885415424.0,2.201080322265625,45214.34307325376,2762.856909124156,210.8703425006572,6.914234473695202,4.0472832323598915,3.1363464529479894
satellite,884010,884010,False,0.6028653478303433,49350176768.0,2.09808349609375,50163.878198410515,2775.018993029213,210.62181368853965,7.717416619986171,4.067090570729145,3.132074996447968
satellite,1699510,1699510,False,0.652445029846908,39277117440.0,1.7833709716796875,7363.283065479924,2743.890245682375,211.23770287844488,0.7719817473910873,4.016393861470836,3.1426602636493794
satellite,884395,884395,False,0.6390632154935596,24050401280.0,2.429962158203125,1095.0448244782435,186.1520281547603,180.18867544858733,-0.24519197025404427,-0.14917404038157922,2.6090216528798535
satellite,436370,436370,False,0.6540751918889693,1434825088.0,2.605438232421875,1408.7671693969326,1661.2956015315726,77.80700453123676,-0.19428290910797388,2.2532652232511463,0.8493912502843932
satellite,415381,415381,False,0.6453416373556711,14231122944.0,1.438140869140625,563.2345872697689,1133.2046343411782,263.86190700476624,-0.3314910825827166,1.393208956698233,4.047110724980655
satellite,7598,7598,False,0.7014676441642759,3372326912.0,0.74005126953125,13305.381099479617,3574.0169699666912,296.7498066947664,1.7362313045185498,5.36834974712484,4.612353972658759
satellite,8411,8411,False,0.6602161561269901,22879115264.0,2.178192138671875,63657.81687766414,3357.767664836707,295.77474934133613,9.907135524138488,5.016163132374995,4.595595694072397
satellite,10640,10640,False,0.6921869778106973,6246857728.0,1.3446807861328125,56706.25380040861,3304.606990134073,297.4957380135557,8.779075774832169,4.929584920944052,4.625174269641891
satellite,80788,80788,False,0.6622087069885517,4192227072.0,0.8306503295898438,56169.18322283485,3339.08971599288,297.76358345378515,8.691923044667078,4.985743966080684,4.629777720392415
satellite,80976,80976,False,0.6033654774044561,4977964544.0,0.8392333984375,55648.238480941654,2841.614099419407,295.37763779954713,8.607387122542569,4.1755482837579585,4.588770551096194
satellite,189514,189514,False,0.6548322989200139,3865243136.0,0.7534027099609375,16211.926477470346,3574.5757725798157,294.7636458090884,2.207888802840224,5.36925982080351,4.57821789099912
satellite,189629,189629,False,0.69951897542127,6793457664.0,0.81634521484375,56695.47433232443,2830.305348723541,295.2515624904189,8.777326544633212,4.157130695677234,4.586603698914833
satellite,189716,189716,False,0.6626176341494049,18350143488.0,1.56402587890625,63819.9383927505,3346.442615545038,295.82709388978344,9.933443672914962,4.997719000175307,4.596495338100794
satellite,190293,190293,False,0.7092008799549306,14621550592.0,1.4209747314453125,8119.131463061474,3508.6965318958364,303.1399803302815,0.894636486248186,5.261967976583088,4.722181676252243
satellite,413656,413656,False,0.6699043556650096,5778343424.0,0.9317398071289062,54063.50080305759,2786.013322952854,295.2784677625194,8.350224989686552,4.084996088783516,4.587066118939374
satellite,1648535,1648535,False,0.6011675726480279,26705315840.0,2.529144287109375,942.7540985921593,46.45391195322102,246.64210294367922,-0.2699048349947548,-0.37668832812635233,3.751154520309156
satellite,10925,10925,False,0.6026098339967293,7447425536.0,1.9378662109375,57918.974181139485,2755.8869206225436,291.03036706522,8.975869076347607,4.035931812507917,4.51405415231217
satellite,1703813,1703813,False,0.6366114684190697,19404302336.0,1.8157958984375,5340.041236064534,2634.43717902758,290.97608212277197,0.4436616781474018,3.838137080502358,4.513121158796057
satellite,471061,471061,False,0.6833864921403746,18545358848.0,1.529693603515625,30530.057439773296,2852.0578999933455,189.2880869161051,4.531352899241287,4.192557202085104,2.765412937770053
satellite,22287,22287,False,0.6216952430037197,21942087680.0,3.864288330078125,774.4237135309058,669.9439767588458,173.62960702414662,-0.2972205235474653,0.6387362306811998,2.4962911601174635
