matched_index,host_halo_index,track_id,DoR,is_central_flag,gal_stellar_mass,gal_r50_kpc,host_mass,host_radius_kpc,gal_center_x,gal_center_y,gal_center_z,host_center_x,host_center_y,host_center_z,dist_to_host_kpc,dist_over_hostR,dist_over_galR50,bh_mass,v_gal_x,v_gal_y,v_gal_z,v_host_x,v_host_y,v_host_z,v_rel,sigma_host,v_rel_over_sigma
67991,46091846,3173,0.6360965679873668,False,188967436288.0,9.3536376953125,832861066231808.0,4671.875,93959.546875,60751.34375,33686.06640625,94179.6640625,60995.765625,33575.33984375,347.0648366724756,0.0742881255753794,37.10479793828281,0.0,-1031.491943359375,-1057.7919921875,21.6080322265625,97.9080810546875,-8.4920654296875,167.6080322265625,1548.5124318004152,343.9976501464844,4.501520377075288
67998,46091846,31990,0.6643157340920557,False,55597031424.0,3.528594970703125,832861066231808.0,4671.875,94089.6015625,60773.80078125,33485.5078125,94179.6640625,60995.765625,33575.33984375,255.83088086803144,0.05475978720921074,72.50219506407485,0.0,68.1080322265625,92.5079345703125,-102.6920166015625,97.9080810546875,-8.4920654296875,167.6080322265625,290.0881922909745,343.9976501464844,0.843285389209625
68006,46091846,32330,0.6476142037663953,False,107758297088.0,3.833770751953125,832861066231808.0,4671.875,94087.5078125,60766.58984375,33378.87109375,94179.6640625,60995.765625,33575.33984375,315.6173044244768,0.06755688121460372,82.32555487666671,0.0,112.2078857421875,-727.092041015625,-432.3919677734375,97.9080810546875,-8.4920654296875,167.6080322265625,936.2640702954538,343.9976501464844,2.7217164707281136
68014,46091846,32662,0.6240056344216605,False,11205301248.0,2.483367919921875,832861066231808.0,4671.875,94325.8671875,61009.61328125,33563.87890625,94179.6640625,60995.765625,33575.33984375,147.30398647613953,0.03152995028251816,59.31621540829665,0.0,-971.9920043945312,-217.092041015625,-595.8919677734375,97.9080810546875,-8.4920654296875,167.6080322265625,1330.8389807406077,343.9976501464844,3.8687443945442563
68021,46091846,49186,0.6339485458575399,False,11712858112.0,1.5087127685546875,832861066231808.0,4671.875,94092.28125,61031.51953125,33511.51953125,94179.6640625,60995.765625,33575.33984375,113.961089939249,0.024393009217765674,75.53531216443614,0.0,-1469.1920166015625,-198.2919921875,-266.2919921875,97.9080810546875,-8.4920654296875,167.6080322265625,1637.099862396312,343.9976501464844,4.759043736778976
68022,46091846,49188,0.6378597937533205,False,17061730304.0,1.6460418701171875,832861066231808.0,4671.875,94220.4609375,60926.6015625,33684.52734375,94179.6640625,60995.765625,33575.33984375,135.53583551046393,0.02901101495876151,82.34045437787962,0.0,259.7078857421875,488.2078857421875,1015.8079833984375,97.9080810546875,-8.4920654296875,167.6080322265625,996.1592119029103,343.9976501464844,2.8958314438447945
68027,46091846,112935,0.6687672414243684,False,2562187776.0,0.8974075317382812,832861066231808.0,4671.875,93985.8828125,60742.5078125,33311.60546875,94179.6640625,60995.765625,33575.33984375,413.819420762835,0.08857673220341619,461.12764393816207,0.0,417.0079345703125,122.9080810546875,1071.1080322265625,97.9080810546875,-8.4920654296875,167.6080322265625,967.1623260910283,343.9976501464844,2.811537595327125
68032,46091846,113454,0.6272442875257234,False,2791564544.0,2.1820068359375,832861066231808.0,4671.875,93998.75,60743.75390625,33258.47265625,94179.6640625,60995.765625,33575.33984375,443.44629766381314,0.09491827107185298,203.22864729857105,0.0,2054.908203125,-129.4920654296875,1049.0079345703125,97.9080810546875,-8.4920654296875,167.6080322265625,2149.7339988088734,343.9976501464844,6.249269429292476
68034,46091846,113721,0.6045801895995093,False,4226389504.0,1.15966796875,832861066231808.0,4671.875,94156.78125,60835.16796875,33498.09765625,94179.6640625,60995.765625,33575.33984375,179.67077066314508,0.03845795760013808,154.9329424497352,0.0,446.7078857421875,99.2078857421875,325.9080810546875,97.9080810546875,-8.4920654296875,167.6080322265625,397.89381584971784,343.9976501464844,1.156675970548877
68072,46091846,543981,0.6077626566056297,False,4143423488.0,0.91552734375,832861066231808.0,4671.875,94396.59375,59994.109375,32751.015625,94179.6640625,60995.765625,33575.33984375,1315.2506035355802,0.2815252127969135,1436.6043925551298,0.0,-492.2919921875,406.2078857421875,233.0079345703125,97.9080810546875,-8.4920654296875,167.6080322265625,724.2853879401482,343.9976501464844,2.1054951614690567
