matched_index,host_halo_index,track_id,DoR,is_central_flag,gal_stellar_mass,gal_r50_kpc,host_mass,host_radius_kpc,gal_center_x,gal_center_y,gal_center_z,host_center_x,host_center_y,host_center_z,dist_to_host_kpc,dist_over_hostR,dist_over_galR50
9770,6955316,1782066,0.7404743771822154,False,18447751168.0,1.79290771484375,183587655647232.0,3199.21875,18385.658203125,46388.58203125,175317.078125,18482.3515625,46447.1953125,175481.71875,199.72896106099668,0.06243054216314426,111.39946546462535
9787,6955316,8057005,0.6787278566633401,False,1625159040.0,0.8955001831054688,183587655647232.0,3199.21875,18427.9609375,46399.49609375,175384.53125,18482.3515625,46447.1953125,175481.71875,121.15678154152567,0.037870740017863946,135.2950941019029
9790,6955316,10571683,0.6680773258759971,False,28813631488.0,1.6727447509765625,183587655647232.0,3199.21875,18585.1328125,46522.12109375,175450.5625,18482.3515625,46447.1953125,175481.71875,130.95254851108416,0.040932664736065376,78.28603164627057
9912,7033253,13736,0.6507552584864124,False,12200893440.0,2.590179443359375,120579344564224.0,2351.5625,15992.8017578125,52231.36328125,143698.5,15893.869140625,51780.92578125,143944.296875,522.5875122021039,0.22222990552116045,201.75726185376777
9972,7047509,1283,0.6363664465748146,False,7242450432.0,1.3561248779296875,51893896216576.0,1875.0,17866.318359375,53117.1328125,186861.84375,17835.279296875,53082.87109375,186772.515625,100.58231797189123,0.053643902918341986,74.16892028811098
10451,7545161,215760,0.6355447257667793,True,35958472704.0,2.593994140625,4417777565696.0,659.1796875,16327.798828125,151414.546875,46722.2890625,16333.8681640625,151426.0625,46655.671875,67.87706629100148,0.10297202352886743,26.167008332041608
10514,7598329,995106,0.6802090174058896,True,37637316608.0,1.5468597412109375,4137918398464.0,719.7265625,17086.048828125,157976.328125,80346.5390625,17071.0390625,157952.15625,80357.1484375,30.366617246965156,0.0421918806796368,19.631138129687876
10656,7719399,1011731,0.6443797003773413,True,20770801664.0,1.926422119140625,414791335936.0,262.20703125,18515.9296875,171809.9375,180455.328125,18513.1953125,171810.78125,180455.203125,2.864322904828469,0.010923898154727569,1.486861512006642
10789,7774322,26620,0.6173019414010313,False,7105800704.0,3.269195556640625,199579597275136.0,2644.53125,18026.126953125,173043.125,181476.671875,18195.578125,173231.734375,181461.234375,254.01872449477307,0.0960543478148625,77.70068204662519
11048,7911684,25850,0.6657124844476187,False,47398031360.0,2.25067138671875,150804136722432.0,2753.90625,16168.9736328125,188164.3125,136765.96875,16352.84765625,188046.203125,136718.0625,223.72860735061894,0.08124045883937368,99.40527465308585
11447,8153764,9581,0.6915810848661282,False,8657754112.0,1.3370513916015625,143767671668736.0,3105.46875,21066.9140625,17598.998046875,140257.59375,20843.91015625,17658.2734375,140295.65625,233.86549134653262,0.07530762991787718,174.91137050940213
11457,8153764,185825,0.6589066725443175,False,7369339904.0,1.1806488037109375,143767671668736.0,3105.46875,20878.52734375,17624.001953125,140468.09375,20843.91015625,17658.2734375,140295.65625,179.18586919153537,0.05770010378997869,151.76898382341147
11527,9555060,83855,0.6538871999543966,False,17393594368.0,2.750396728515625,156081477124096.0,2894.53125,21639.91015625,15907.884765625,183469.890625,21872.794921875,14434.8671875,183110.3125,1534.0510185466346,0.5299825381213744,557.7562693562954
11872,8375568,415368,0.6877238228986977,False,25885415424.0,2.201080322265625,447135086542848.0,3628.90625,20153.705078125,41530.18359375,11301.3359375,20086.71484375,41518.5390625,11442.0224609375,156.25615023601438,0.04305874538258308,70.99066247395105
11915,8375568,884010,0.6028653478303433,False,49350176768.0,2.09808349609375,447135086542848.0,3628.90625,20013.38671875,41565.67578125,11445.6982421875,20086.71484375,41518.5390625,11442.0224609375,87.24904319435302,0.024042793388325483,41.58511487116451
11936,8375568,1699510,0.652445029846908,False,39277117440.0,1.7833709716796875,447135086542848.0,3628.90625,20127.9140625,41382.34765625,11219.2919921875,20086.71484375,41518.5390625,11442.0224609375,264.29970955632473,0.07283178218129077,148.20231671001753
12062,8375568,884395,0.6390632154935596,False,24050401280.0,2.429962158203125,447135086542848.0,3628.90625,19321.5625,42203.3046875,12892.2529296875,20086.71484375,41518.5390625,11442.0224609375,1776.9441417271967,0.4896638323812296,731.2641210187351
12200,8480871,1085,0.7154140447221113,True,15909965824.0,3.238677978515625,4152910938112.0,813.4765625,19102.380859375,43839.30078125,147631.015625,19126.412109375,43824.8984375,147577.9375,60.01846245590843,0.07378019874531841,18.531778353405958
12217,6955316,436370,0.6540751918889693,False,1434825088.0,2.605438232421875,183587655647232.0,3199.21875,18818.126953125,46450.65234375,175126.9375,18482.3515625,46447.1953125,175481.71875,488.494421018293,0.1526917848359988,187.4903096682568
12312,8542242,14295,0.6245153530793502,True,22761988096.0,5.9051513671875,1794097545216.0,440.91796875,20275.873046875,52366.4765625,195105.828125,20276.001953125,52368.26953125,195104.96875,1.9924555579461805,0.0045188803794836965,0.33740973500144933
12517,8762177,1415,0.6206592467390807,True,120564350976.0,4.0435791015625,7786083123200.0,1082.03125,20097.44921875,96990.7421875,144279.0,19970.451171875,96952.953125,144274.140625,132.5900851499999,0.122538129236101,32.79027856751092
13227,9356197,503453,0.623574460789296,True,76445917184.0,2.60162353515625,9725108289536.0,875.0,20366.6640625,186783.015625,103398.1953125,20386.041015625,186798.109375,103431.5625,41.4325572844726,0.04735149403939726,15.925654394106724
13573,9605725,9952,0.6148557942710099,True,33420687360.0,2.643585205078125,2928526753792.0,556.640625,24446.06640625,16424.0078125,148814.890625,24446.67578125,16418.994140625,148786.421875,28.91328362748325,0.05194246041147868,10.937148374087979
13799,9775896,12172,0.6559461671706917,True,47163772928.0,3.41796875,5537214758912.0,681.640625,23466.158203125,37161.35546875,176104.46875,23453.939453125,37166.37890625,176115.765625,17.382524576267144,0.025501010266615408,5.085630047456444
13876,9823293,423945,0.6160925936924683,True,30882902016.0,1.556396484375,2613685256192.0,655.2734375,22558.271484375,39029.078125,162753.0625,22571.91015625,39033.64453125,162764.40625,18.31791747487839,0.027954616235879984,11.769441565035589
15112,10778830,481813,0.6063854464961596,True,21903044608.0,2.689361572265625,1684152778752.0,470.21484375,24023.044921875,175381.671875,21350.607421875,24012.283203125,175381.328125,21331.5625,21.87788389541948,0.04652742078693572,8.134973043802615
15419,11010957,9046,0.6074931403874908,True,29711616000.0,5.51605224609375,2268858679296.0,707.03125,26442.65234375,8870.048828125,80811.1328125,26439.4375,8873.83984375,80816.7890625,7.529952447951328,0.01065009848992011,1.3650981013248638
15584,11116594,415381,0.6453416373556711,False,14231122944.0,1.438140869140625,922415966191616.0,5257.8125,26133.560546875,18367.275390625,12448.3466796875,27105.62890625,18440.224609375,13643.4365234375,1542.2315709544525,0.2933219035396284,1072.3786550034058
15632,11116594,7598,0.7014676441642759,False,3372326912.0,0.74005126953125,922415966191616.0,5257.8125,27027.587890625,18548.51171875,13490.9453125,27105.62890625,18440.224609375,13643.4365234375,202.65751303556408,0.03854407380171204,273.8425314288397
15643,11116594,8411,0.6602161561269901,False,22879115264.0,2.178192138671875,922415966191616.0,5257.8125,27059.939453125,18701.8671875,13693.4140625,27105.62890625,18440.224609375,13643.4365234375,270.2630556060188,0.05140218591020863,124.07677486652221
15647,11116594,10640,0.6921869778106973,False,6246857728.0,1.3446807861328125,922415966191616.0,5257.8125,27103.8359375,18563.4765625,13777.712890625,27105.62890625,18440.224609375,13643.4365234375,182.27561951928183,0.03466757696652017,135.55307802344004
15660,11116594,80788,0.6622087069885517,False,4192227072.0,0.8306503295898438,922415966191616.0,5257.8125,27096.798828125,18562.38671875,13718.3701171875,27105.62890625,18440.224609375,13643.4365234375,143.58479974890486,0.027308847500534653,172.85829504191466
15664,11116594,80976,0.6033654774044561,False,4977964544.0,0.8392333984375,922415966191616.0,5257.8125,27234.078125,18563.74609375,13799.0390625,27105.62890625,18440.224609375,13643.4365234375,236.5774906080153,0.0449954216906775,281.89713499067074
15678,11116594,189514,0.6548322989200139,False,3865243136.0,0.7534027099609375,922415966191616.0,5257.8125,27065.876953125,18555.046875,13483.0146484375,27105.62890625,18440.224609375,13643.4365234375,201.2449960595937,0.03827542272753045,267.1147759344108
15680,11116594,189629,0.69951897542127,False,6793457664.0,0.81634521484375,922415966191616.0,5257.8125,27238.998046875,18689.3515625,13787.2451171875,27105.62890625,18440.224609375,13643.4365234375,317.0685699982726,0.06030427482879479,388.40010847489333
15682,11116594,189716,0.6626176341494049,False,18350143488.0,1.56402587890625,922415966191616.0,5257.8125,27112.59375,18675.80859375,13679.5185546875,27105.62890625,18440.224609375,13643.4365234375,238.43287466620063,0.04534830305687025,152.4481646256012
15692,11116594,190293,0.7092008799549306,False,14621550592.0,1.4209747314453125,922415966191616.0,5257.8125,26817.462890625,18512.3515625,13484.2578125,27105.62890625,18440.224609375,13643.4365234375,337.0160410781776,0.0640981474858941,237.17243777824908
15716,11116594,413656,0.6699043556650096,False,5778343424.0,0.9317398071289062,922415966191616.0,5257.8125,27227.646484375,18627.685546875,13865.78125,27105.62890625,18440.224609375,13643.4365234375,315.3840038588233,0.059983881863193735,338.48935233395036
15766,11116594,1648535,0.6011675726480279,False,26705315840.0,2.529144287109375,922415966191616.0,5257.8125,26335.12109375,17457.98828125,14957.2861328125,27105.62890625,18440.224609375,13643.4365234375,1812.366212846305,0.34469966603911895,716.592652338434
15980,11116594,10925,0.6026098339967293,False,7447425536.0,1.9378662109375,922415966191616.0,5257.8125,27203.697265625,18828.271484375,13915.7109375,27105.62890625,18440.224609375,13643.4365234375,484.0776145008644,0.09206825357520156,249.7992956214854
16055,11116594,1703813,0.6366114684190697,False,19404302336.0,1.8157958984375,922415966191616.0,5257.8125,26900.5234375,19152.853515625,13683.71484375,27105.62890625,18440.224609375,13643.4365234375,742.6510313878416,0.14124715010051073,408.9947730507024
16158,11299763,83271,0.684790105962043,True,29321187328.0,2.4566650390625,2448768106496.0,596.6796875,27409.208984375,26309.314453125,160727.578125,27410.83984375,26313.5703125,160734.296875,8.118721751809257,0.01360649930254121,3.304773594574978
17191,12045963,16180,0.612667007865855,True,22020173824.0,5.88226318359375,7456249348096.0,1994.140625,26621.39453125,128473.46875,20437.419921875,26338.66796875,128653.8515625,19884.87890625,646.354269836893,0.32412672493289835,109.8819025370444
17380,12197019,471061,0.6833864921403746,False,18545358848.0,1.529693603515625,416430533115904.0,4242.1875,25871.658203125,148093.5,128114.2421875,25365.41796875,148325.40625,128259.90625,575.5672878066658,0.13567700338720667,376.2631199371337
17436,12197019,22287,0.6216952430037197,False,21942087680.0,3.864288330078125,416430533115904.0,4242.1875,26956.435546875,148009.453125,128402.203125,25365.41796875,148325.40625,128259.90625,1628.3156056903624,0.3838386694813377,421.3752874018701
17506,12197019,1896059,0.6838720708795906,False,10483007488.0,1.4705657958984375,416430533115904.0,4242.1875,26088.70703125,147955.625,128773.3125,25365.41796875,148325.40625,128259.90625,960.9740986742327,0.22652796432836425,653.4723582953516
18041,12511704,1970,0.6209475595063677,False,35177615360.0,3.28826904296875,141848643371008.0,2988.28125,27126.5859375,175588.875,195969.234375,26793.728515625,176035.3125,194512.546875,1559.4995919716594,0.5218717588820193,474.26155572832795
18080,12511704,985428,0.6592798960628986,False,17295986688.0,2.1514892578125,141848643371008.0,2988.28125,26650.48046875,175870.234375,194597.984375,26793.728515625,176035.3125,194512.546875,234.6707410250963,0.07853033948029367,109.07362896326745
18559,14461431,104782,0.6943957712516015,False,69262032896.0,2.040863037109375,403636966391808.0,4359.375,27062.388671875,195866.109375,190188.5625,28760.34375,199162.828125,189118.546875,3859.5776195946855,0.8853511385450175,1891.1497486187463
19080,11116594,6,0.6170304384007274,False,2352332288.0,2.05230712890625,922415966191616.0,5257.8125,28516.923828125,18729.95703125,15962.51953125,27105.62890625,18440.224609375,13643.4365234375,2730.172930405762,0.5192602304486442,1330.2945216882679
21044,14461431,1040964,0.6432128055050877,False,51848916992.0,2.31170654296875,403636966391808.0,4359.375,28896.41015625,197910.515625,188744.265625,28760.34375,199162.828125,189118.546875,1314.1107710796691,0.30144476469211046,568.4591649734468
21273,14585115,189198,0.6527084386733543,False,2198600960.0,0.5998611450195312,247235631644672.0,2691.40625,31553.6484375,6403.296875,183628.0,31587.986328125,6578.6669921875,183519.78125,208.91401720922042,0.07762262468151006,348.270627200597
21297,14585115,852408,0.6102566340549741,False,3596823552.0,0.8687973022460938,247235631644672.0,2691.40625,31458.46484375,6508.09716796875,183621.671875,31587.986328125,6578.6669921875,183519.78125,179.26966968190484,0.0666081791561214,206.3423415547454
21556,14735979,3198019,0.6124418973164785,True,43884175360.0,1.6880035400390625,2923529240576.0,633.7890625,32026.7109375,19938.478515625,190822.71875,32040.84375,20001.115234375,190812.578125,65.00713191887013,0.10256903402915718,38.51125331014755
22216,15326234,15531,0.66689122433132,True,80115949568.0,4.14276123046875,4782593933312.0,633.7890625,32006.3125,110261.3984375,143541.640625,32001.015625,110258.40625,143540.03125,6.292865697868201,0.009928959128839813,1.519002749080996
22293,15472933,15398,0.6415685020249383,False,73634832384.0,3.83758544921875,1384263664533504.0,4851.5625,33594.33203125,115597.4140625,145773.65625,33902.7109375,115949.8515625,145965.0,505.88750912654365,0.10427310977165473,131.8244286207442
22301,15472933,15788,0.6506497685922836,False,27486173184.0,1.712799072265625,1384263664533504.0,4851.5625,33772.03125,115598.328125,145771.4375,33902.7109375,115949.8515625,145965.0,422.03358781400806,0.08698920972655882,246.39993951874237
22383,15472933,460550,0.6869908876345444,False,20653672448.0,1.453399658203125,1384263664533504.0,4851.5625,33856.0546875,115509.9296875,145821.96875,33902.7109375,115949.8515625,145965.0,464.9365550740667,0.09583233341301213,319.89587478565915
22644,15472933,1685,0.6598136854666824,False,133682749440.0,3.77655029296875,1384263664533504.0,4851.5625,33890.28125,115963.7109375,146009.453125,33902.7109375,115949.8515625,145965.0,48.193980215415976,0.009933702846333728,12.76137651473738
22653,15472933,17559,0.6162753120910791,False,54581919744.0,3.65447998046875,1384263664533504.0,4851.5625,33481.9921875,115638.640625,145599.296875,33902.7109375,115949.8515625,145965.0,638.431899152883,0.1315930484566329,174.69842564878223
22657,15472933,17910,0.6208004211758845,False,3240557312.0,0.5578994750976562,1384263664533504.0,4851.5625,34030.09765625,115948.3828125,146021.6875,33902.7109375,115949.8515625,145965.0,139.43817983860842,0.028740880868505438,249.93423737170713
22659,15472933,18005,0.7227492410942181,False,5553846784.0,0.835418701171875,1384263664533504.0,4851.5625,34022.578125,115797.375,145929.5625,33902.7109375,115949.8515625,145965.0,197.16252472827225,0.04063897450115756,236.00444238524292
22667,15472933,18413,0.6218062366987339,False,57783431168.0,4.1656494140625,1384263664533504.0,4851.5625,33839.1171875,115949.71875,146039.109375,33902.7109375,115949.8515625,145965.0,97.65440154500605,0.020128443474655033,23.442779705690537
