track_id,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,DoR
445152,10.680033,0.5332831,9.880108,0.18020767,11.03313,,0.1497316354696878
1495593,10.58542,0.47466686,9.87342,0.09944173,8.196466,,0.0807480841495497
278796,10.288336,0.67418075,9.277064,0.10701338,2.3626428,-9.814448809230775,0.250186431975788
2479,9.049707,0.18998612,8.764729,0.2016758,10.331429,,0.2526105308656836
47124,11.289817,0.8936374,9.949361,0.2020841,10.674815,,0.2925408999995586
48751,9.375089,0.34712866,8.854396,0.23639396,11.301867,,0.1622860210373478
18403,10.277732,0.4177842,9.651055,0.09179535,4.650636,-10.698817021371912,0.2367926997399555
838731,10.295263,0.5313378,9.498257,0.07889528,4.105698,-9.965869181285635,0.1201874322854633
194012,9.692344,0.42841542,9.049721,0.06885492,6.031644,-10.7243524592509,0.0825898640225628
20944,11.180374,0.9476962,9.75883,0.19995102,10.331429,,0.2145556017387393
56280,10.804262,0.78340316,9.629157,0.18882993,8.987746,-12.057126343237607,0.4891494158076355
1694775,10.227026,0.5194792,9.447807,0.11175535,3.2248392,-10.05046068840263,0.2022924358523679
88790,11.248215,0.8462779,9.978798,0.17043647,9.107184,-12.547526620821962,0.2402873587449896
6627,10.305033,0.6084017,9.39243,0.07841993,5.486706,-10.246082322558,0.2330242689769881
6326,10.698073,0.62206244,9.764979,0.21566698,10.376219,,0.1609632467114973
276029,11.235784,0.958037,9.798728,0.19995236,9.107184,-14.15901389726705,0.1631346959234536
49924,10.76239,0.6526054,9.783482,0.14139229,8.286045,,0.2234974877087543
52560,10.4967985,0.43939537,9.837706,0.18170282,8.554782,,0.2478847807485335
87128,9.4884815,0.46284476,8.794214,0.09218661,6.4571433,-10.772862628778084,0.3043221504192535
20315,10.3949995,0.45940706,9.705889,0.09501559,4.269926,-10.440652259600277,0.6297249562898336
602395,10.316637,0.5293837,9.522561,0.10897853,4.031049,-11.407705057185053,0.2493966584890051
6669,10.566975,0.68799096,9.534988,0.08901175,3.5607598,-10.018022843717715,0.2727839051208571
48082,9.679678,0.11801852,9.50265,0.16343781,9.898464,,0.1545015002889554
82033,10.123021,0.40493432,9.515619,0.08350121,6.375029,,0.2524756332393666
86833,10.350454,0.44478297,9.68328,0.08836416,3.083006,-9.873598083021541,0.3140864054186202
137985,9.715394,0.3537818,9.184721,0.10635967,2.4522214,-9.819655181574312,0.3953528261332439
54948,9.998508,0.5419309,9.185612,0.10325896,3.650339,-10.690952888041107,0.3132643815866656
569693,10.652241,0.46398464,9.956264,0.09301526,4.0609083,-10.040932119778946,0.3080681365036914
2264,11.12506,0.90779597,9.763366,0.17966697,8.7787285,-14.231934549518472,0.1834825282169789
19867,10.504296,0.6391262,9.545607,0.11050884,2.250669,-9.750754547332036,0.4122522402864094
83656,9.916853,0.26540723,9.518742,0.08480958,4.1355577,-10.628137317101693,0.19813936494999
839391,9.6064825,0.31062487,9.140545,0.092974894,3.9414701,-9.98181064719005,0.1216282217488478
865552,9.930994,0.33580843,9.427281,0.079393916,5.016416,-10.286387692866704,0.2485030890540208
194862,10.080093,0.47020108,9.374792,0.08952049,3.9340053,-10.334448475334918,0.1386517598640672
204690,10.331115,0.4899451,9.596197,0.093638785,3.792172,-9.913626656730221,0.1541622221031639
52448,10.167308,0.34638306,9.647734,0.22323939,10.958482,,0.2697983235310041
392543,10.607739,0.571799,9.750041,0.08200569,4.919373,-10.208882597585337,0.1761006761228623
1671642,11.112157,0.99843323,9.614507,0.19515315,9.689447,-12.484207097444456,0.0959219879743713
19033,10.608576,0.36249703,10.064831,0.22346193,11.704972,,0.1974574488594113
136251,10.553438,0.39236438,9.964891,0.069142394,6.0615034,-10.55518515998305,0.2778285159238428
196615,10.405124,0.5709099,9.5487585,0.081977256,4.456548,-10.387807653009402,0.1467006112151909
22485,10.662688,0.6188866,9.734359,0.092796974,4.4192243,-10.247751778938454,0.3573969119995283
2014949,10.146637,0.34787294,9.624827,0.083523236,4.404294,-10.722937708964766,0.2565286290797681
47343,10.593709,0.62127066,9.661803,0.08712085,3.8742862,-10.206516924047516,0.2090885181747847
1188948,10.675761,0.4807333,9.954661,0.17562544,9.301272,,0.3317868075744696
200837,9.81034,0.63988614,8.850511,0.1022136,5.5613546,-11.101444186924327,0.1495919167860818
195591,9.956562,0.3660774,9.407446,0.11291794,2.3925023,-9.628207921550384,0.1822184114583746
128984,9.804396,0.49048096,9.068674,0.105512984,5.9793897,-10.955905161726124,0.1097450000957173
134648,10.207493,0.39034596,9.621974,0.10953132,6.934897,,0.1133807431142683
3024,10.401775,0.66136456,9.409729,0.2085357,11.570604,,0.1532670434066217
135333,10.539955,0.34413865,10.023747,0.18321308,8.315905,-11.751990861881307,0.158972847914655
305406,10.831092,0.61728996,9.905157,0.1411395,9.331131,,0.2015645293025783
435538,10.127469,0.49315026,9.387744,0.087531246,4.0534434,-10.17621292623506,0.3179894626568013
799104,9.340215,0.5052221,8.582381,0.09520195,4.2251368,-10.809787822006701,0.2001103784928947
17414,10.840984,0.6084017,9.928382,0.19577852,8.360694,-11.352359911336476,0.2167606976189593
48322,9.5027,0.451864,8.8249035,0.112826265,2.1536252,-9.597891229952952,0.13909026688164
132216,9.807048,0.2558619,9.423255,0.08133618,8.136747,,0.2505906996381226
20557,10.239414,0.36033458,9.698913,0.112634845,8.853378,,0.2488577126386547
202570,9.498012,0.36249703,8.954266,0.07382845,4.926838,-10.09904430476707,0.3522166040503411
881588,9.56467,0.6140789,8.643551,0.137157,5.11346,-10.74881824435613,0.206926712166872
270337,9.930994,0.55735123,9.094967,0.10040926,2.1274981,-9.460097163555623,0.354823822382513
1112173,9.758121,0.41204876,9.140047,0.10950365,3.2248392,-9.74616645374165,0.184774701698028
76796,9.456349,0.4735547,8.746017,0.089019485,3.6242118,-10.3485662877959,0.267023065805431
393815,11.072698,0.8638556,9.776915,0.16234612,9.137045,-13.221880541655024,0.0899182782211132
1542579,9.789512,0.22737336,9.448452,0.16522908,9.793956,,0.1834694011179678
124639,9.906463,0.59260744,9.017551,0.091624774,3.2808259,-10.042149657694322,0.1772415480161223
19674,10.985993,0.98423713,9.509638,0.23646286,8.360694,-10.49244610557696,0.0616133181799034
1166700,10.364597,0.5559718,9.53064,0.09219106,2.9934273,-10.044655669564806,0.2703877924415742
588275,9.356372,0.37872764,8.7882805,0.099040486,5.718117,-10.159427061080235,0.229241425331194
7231,10.622547,0.6001606,9.722306,0.2242448,9.495359,,0.2516559235685425
632496,9.494632,0.4333297,8.844637,0.112003826,2.2581341,-9.85191582821459,0.190959601538191
300984,9.074951,0.6156874,8.151421,0.09806701,6.166012,-11.735063621364427,0.0905069630369054
121156,9.475912,0.5550497,8.643337,0.09735704,5.4120564,-11.165634803872841,0.2369035958175754
578448,10.66416,0.65773636,9.677555,0.24100113,9.883535,-12.603759267562925,0.2056928585981662
