halo_idx,track_id,logM,logR,compactness,DoR_matched,DoR_matched_flag
3381791,3381791,9.517112,0.5352198,8.714282,,0
45146,45146,9.473782,0.59260744,8.58487,,0
2053992,2053992,9.450379,0.38011074,8.880213,,0
7200687,7200687,9.328934,0.2760653,8.914836,,0
122683,122683,9.511273,0.4203092,8.88081,,0
803817,803817,9.554739,0.28646806,9.125037,,0
122416,122416,10.196848,0.5381087,9.389685,,0
2941060,2941060,9.725879,0.56100845,8.884366,,0
777523,777523,9.816852,0.58749807,8.935604,,0
1483564,1483564,9.166296,0.5934532,8.276116,,0
1483573,1483573,10.215308,0.64890295,9.241954,,0
76021,76021,10.894305,0.5735716,10.033948,,0
177260,177260,10.907931,0.5892079,10.024119,,0
776795,776795,10.48308,0.4942134,9.74176,,0
1081633,1081633,9.594788,0.5313378,8.797781,,0
1486751,1486751,9.514527,0.40493432,8.907125,,0
2008580,2008580,10.358698,0.81749326,9.132458,,0
2009590,2009590,10.037924,0.6075846,9.126547,,0
5629521,5629521,10.049424,0.65846443,9.061728,,0
7124204,7124204,9.165573,0.43939537,8.50648,,0
13204267,13204267,9.102589,0.5641835,8.256313,,0
262403,262403,10.545302,0.551807,9.717592,,0
384351,384351,10.505357,0.39504108,9.912795,,0
2015412,2015412,9.336324,0.49261773,8.597397,,0
7137647,7137647,9.698752,0.21442327,9.377117,,0
76479,76479,9.36423,0.8067694,8.154076,,0
551401,551401,9.102589,0.3828638,8.528293,,0
551649,551649,10.704817,0.5062561,9.945433,,0
1492773,1492773,9.33141,0.41841683,8.703785,,0
2015044,2015044,9.874844,0.6548118,8.892626,,0
2015205,2015205,9.052064,0.56867933,8.199045,,0
2015735,2015735,9.152345,0.5900603,8.267254,,0
2016346,2016346,9.268235,0.26809636,8.866091,,0
4990008,4990008,9.954213,0.35451478,9.4224415,,0
16961,16961,10.022906,0.5072877,9.261974,,0
17076,17076,10.342051,0.54382944,9.526306,,0
42983,42983,10.473497,0.56508636,9.625868,,0
43166,43166,10.696712,0.7861226,9.517528,,0
76735,76735,9.712116,0.38764006,9.130656,,0
76959,76959,9.677457,0.42406934,9.041353,,0
118719,118719,10.790749,0.49261773,10.051822,,0
118743,118743,11.208122,0.7422287,10.094779,,0
118962,118962,10.317454,0.20263638,10.0135,,0
119105,119105,10.0139675,0.5103678,9.248416,,0
119374,119374,11.319408,1.0004239,9.818772,,0
180013,180013,9.772671,0.47688264,9.057346,,0
265013,265013,9.626972,0.4553617,8.94393,,0
266848,266848,10.753509,0.48182723,10.030767,,0
386175,386175,10.012322,0.35743442,9.476171,,0
386194,386194,9.5421505,0.39034596,8.956632,,0
386356,386356,10.813217,0.6329985,9.863719,,0
386434,386434,10.327142,0.69339436,9.28705,,0
386511,386511,9.181212,0.43454963,8.529388,,0
555107,555107,10.659728,0.5184762,9.882013,,0
555122,555122,10.4808445,0.5174709,9.7046385,,0
555132,555132,10.658241,0.54382944,9.842497,,0
555261,555261,9.028399,0.6893481,7.994377,,0
555263,555263,10.348938,0.2418512,9.986161,,0
556579,556579,9.121421,0.52047986,8.340701,,0
556581,556581,11.614548,1.2145244,9.792761,,0
556732,556732,9.754405,0.67065847,8.748417,,0
556784,556784,9.925493,0.30079138,9.474306,,0
557092,557092,10.188689,0.3937048,9.598132,,0
783610,783610,9.528558,0.6663937,8.528967,,0
784034,784034,10.354221,0.6555448,9.370904,,0
785410,785410,9.755895,0.34563622,9.23744,,0
1091862,1091862,10.161501,0.35670635,9.626441,,0
1092425,1092425,10.60269,0.45710003,9.91704,,0
1092616,1092616,9.822629,0.38967106,9.238122,,0
1095053,1095053,9.047338,1.1878415,7.2655754,,0
1495593,1495593,10.58542,0.47466686,9.87342,,0
1495795,1495795,9.291055,0.487256,8.560171,,0
1495867,1495867,9.431177,0.7563917,8.29659,,0
1495928,1495928,10.218396,0.5072877,9.457464,,0
1496015,1496015,10.27459,0.47020108,9.569288,,0
1497636,1497636,9.929501,0.3296481,9.435028,,0
1500995,1500995,10.409108,0.45069182,9.73307,,0
2020583,2020583,10.078681,0.4611293,9.386987,,0
2020769,2020769,9.684088,0.5067722,8.923929,,0
2022179,2022179,9.2543,0.5259428,8.465385,,0
2022242,2022242,10.217369,0.17252469,9.958582,,0
2022298,2022298,10.789649,0.57046473,9.933952,,0
2022691,2022691,10.022101,0.36321548,9.477278,,0
2022797,2022797,10.193059,0.46625546,9.493676,,0
2501083,2501083,9.766909,0.4690774,9.0632925,,0
2910551,2910551,9.523508,0.4459712,8.854551,,0
