HaloCatalogueIndex,DoR,logM,logR,compactness,exsitu_frac
702000,0.6161241624593478,10.968848,0.7219682,9.885896,0.5493000122292537
1443766,0.6183732603441066,10.474636,0.30409402,10.018495,0.04236405966354481
59531,0.7344147424352562,10.565594,0.2649574,10.168158,0.08195108959240652
1423833,0.6698063463058056,10.37616,0.47798634,9.65918,0.1044257024872591
627956,0.6805502654276822,9.963994,0.4553617,9.2809515,0.011146455466048534
1262725,0.6505207030445971,9.723481,0.17529975,9.460531,0.0025888008322193204
1264037,0.6451797017501685,9.084215,0.08251934,8.960436,0.0017202757498493491
53300,0.6259020252382109,10.242335,0.31625992,9.767945,0.05917607666141325
1295671,0.6321841526992807,10.481963,0.31785658,10.005178,0.16172486613354822
49780,0.6319006491999953,10.626572,0.75347894,9.496353,0.4609505044404558
50269,0.7151884979919824,10.27097,0.26360518,9.875563,0.03635113614707829
319646,0.6831502780138443,10.365329,0.3660774,9.816213,0.1951456213937232
155425,0.6117069106060525,10.067939,0.29746345,9.621743,0.0005195308190863487
45950,0.6151807209059917,10.418265,0.63530654,9.465305,0.4697074750110907
5046,0.6647422966254792,10.401775,0.40493432,9.7943735,0.010234126660813563
52429,0.6169129369290133,10.66195,0.6845794,9.635081,0.1527145092320695
54269,0.6296119988355976,10.101417,0.17196754,9.843465,0.004068428010526034
156087,0.6091140452882459,10.333482,0.2649574,9.936046,0.04108447738465188
154264,0.6663097120972806,10.195228,0.70400363,9.139222,0.2846448602595812
1293101,0.6984107780673224,10.117882,0.27912524,9.699194,0.06689552791814259
141036,0.6006012868655463,10.739527,0.18134317,10.467512,0.12677635482694966
144050,0.6122733155006972,9.731421,0.038584705,9.673545,0.0003956821394140925
50829,0.6986479913505268,10.003162,0.6811407,8.981451,0.09238217965519913
3913617,0.6349442877756575,10.635298,0.512918,9.865921,0.4761298904439379
339605,0.6246985665295753,10.481404,0.7349701,9.378949,0.13037539818516408
708413,0.6669746959515012,10.322325,0.3780344,9.755273,0.07135858868686056
154378,0.6000143242723192,10.555802,0.38967106,9.971295,0.26760101873071057
46250,0.7137258656902371,10.01724,0.8093468,8.803219,0.03571389811146639
1277093,0.6865494011773712,9.979377,0.06859846,9.876479,0.08130880937381554
3786109,0.6990965993191339,9.218652,-0.35501894,9.751181,0.17542843536508618
1277858,0.6686289053207274,10.642309,0.38967106,10.057802,0.13892560694734968
297402,0.6129226881775187,9.3540325,0.32418522,8.867755,0.0004858784899707591
1265641,0.6333589901836453,10.453077,0.3081873,9.990796,0.20253120631933075
139676,0.6177370286401197,9.578314,-0.20969565,9.892858,0.0
5119,0.6427715549490975,10.529562,0.40493432,9.92216,0.003953911043377645
