HaloCatalogueIndex,DoR,logM,logR,compactness,exsitu_frac
547265,0.6033446959629175,9.794303,0.07422046,9.682972,0.004305546101806551
586019,0.6714912439164086,10.0285,0.12738541,9.837421,0.022170332421567185
129308,0.6189566768837892,10.587616,0.49048096,9.851894,0.3183617880894365
40638,0.6469504784134035,11.116327,0.8057341,9.907726,0.7382658268391085
2224712,0.6387213563394316,9.766183,0.012823842,9.746947,0.0001845366618179696
126915,0.6322243090380213,10.74627,0.61003137,9.8312235,0.45071289457852615
4323,0.6001028217200032,10.4967985,0.47522187,9.783966,0.02134255151224968
27954,0.6320348375243361,9.160477,-0.08914204,9.294189,0.0
250132,0.6367544063618816,10.674328,0.52047986,9.893608,0.3778806930035302
38569,0.601280521128829,10.487517,0.8294334,9.243367,0.3662888797424677
42536,0.6195340219782417,10.138701,0.2581537,9.751471,0.09505005675459811
110495,0.6881217156872337,10.384634,0.6391262,9.425944,0.1300406550565326
645160,0.6361371555496546,10.67289,0.5026262,9.91895,0.1816880619628945
226,0.6651580821335206,10.065029,0.30244583,9.611361,0.006401906605127164
308423,0.6387986712863496,10.528559,0.103251725,10.373681,0.11181480557561263
48750,0.6918444995272178,10.470064,0.2756264,10.056624,0.1548847747357771
34442,0.6209260924046233,10.441576,0.34413865,9.925368,0.03271069918268849
271684,0.6642799875957334,10.290512,0.2394715,9.931305,0.03618751804711791
1236391,0.6916900201316806,9.268235,-0.116425544,9.442874,0.5131821366088073
1237182,0.6508080914560083,9.294295,-0.24317311,9.659055,0.0
243904,0.6090002615393302,10.440962,0.6852638,9.413066,0.29596907600455435
3173,0.6360965679873668,11.276387,0.9709806,9.819917,0.7520847952103176
31990,0.6643157340920557,10.745051,0.5476018,9.923649,0.4003148643840053
32330,0.6476142037663953,11.032451,0.58362615,10.157011,0.49077112252368926
32662,0.6240056344216605,10.049424,0.39504108,9.456862,0.063472986058766
49186,0.6339485458575399,10.068664,0.17860658,9.800754,0.0031897925784085705
49188,0.6378597937533205,10.232024,0.21644089,9.907363,0.013299809828137466
112935,0.6687672414243684,9.408611,-0.047010288,9.479127,0.0
113454,0.6272442875257234,9.4458475,0.33885613,8.937563,0.01896388785514962
113721,0.6045801895995093,9.62597,0.06433366,9.5294695,0.002543308070394188
543981,0.6077626566056297,9.61736,-0.03832868,9.674853,0.0007473867068243832
545747,0.6903547198039267,9.110056,-0.07611724,9.224232,0.0007861580039953876
545783,0.6829272630534752,10.142382,0.44239673,9.478786,0.0069763553686775495
1107677,0.6316649978290075,10.9517565,0.7306792,9.855738,0.3941917563014274
1109054,0.6178003059705462,10.141159,0.23851594,9.783385,0.0020115889697288293
2146180,0.6096676688676959,9.25841,-0.02584297,9.297174,0.0005563972741285775
11322651,0.6499601665799971,11.147362,0.6108439,10.231096,0.699667513839768
34839,0.6795322669738485,10.090542,0.47020108,9.385241,0.017297927924365335
37835,0.6607338881507444,10.2870245,0.19846043,9.989334,0.004593668735203839
581214,0.6771729679376576,10.0065155,0.20933779,9.692509,0.24582150722580298
1175888,0.6683748517188111,9.912726,0.30491576,9.455353,0.09864882223352164
3859,0.6047750707089494,10.632936,0.5677839,9.78126,0.663846007295756
44663,0.620560470015476,10.47916,0.7947121,9.287092,0.17287875228380714
133204,0.6104780507118654,10.598436,0.3500982,10.073289,0.29186217057217306
1052627,0.6304637685133673,10.620926,0.6993939,9.571835,0.1520516669861019
2465614,0.6226612854506913,10.401775,0.76615155,9.252548,0.3549634624551449
115874,0.7328957149625412,10.205913,0.33733496,9.69991,0.0875277552529592
48958,0.6722382549742901,10.381827,0.07908073,10.2632065,0.0635617574068026
145106,0.6462121186005444,10.882466,0.69339436,9.842375,0.46633463270504993
3586,0.65087904992931,10.863848,0.39437345,10.272287,0.19411174795554692
55787,0.6191937396743034,10.227026,0.4894086,9.492913,0.027380354149205546
150956,0.6112348731793519,10.7314205,0.49315026,9.991695,0.3936821841072326
328522,0.6718535456827563,10.912104,0.58792615,10.030214,0.5508029526906838
4676,0.6590198462223396,10.253828,0.4271781,9.613061,0.0020625989260462368
140928,0.6420956686438234,10.461361,0.19530192,10.168408,0.021883847760741763
319263,0.7263375845430561,9.318371,-0.06155852,9.410708,0.0
405,0.6903844705050813,9.875973,0.25906706,9.487372,0.0008019100162191792
38264,0.6240760107068086,10.0751295,0.31785658,9.598345,0.05164341510762766
38324,0.6930907738966435,10.451282,0.3675013,9.900029,0.005445398274375924
1382810,0.6914281742535744,10.2659445,0.259523,9.87666,0.011372141718950058
2281031,0.658747911592048,9.007558,0.07422046,8.896227,0.0
1419622,0.6748904435518694,10.611904,0.4003455,10.011386,0.11434529080187703
152636,0.6437833297143299,10.688453,0.44656408,10.018606,0.14872657540858322
307424,0.7067396675858966,10.268693,0.4003455,9.668175,0.022669484871285124
51234,0.6040470808596735,10.7824335,0.43758455,10.126057,0.30316744897776615
663395,0.6710707140076483,10.098047,0.28432125,9.671565,0.027568858661645237
143084,0.6410511278191807,10.688453,0.7511345,9.56175,0.31600473001740753
591516,0.6236500712661729,11.018378,0.8458056,9.74967,0.6048157755516226
