soap_index,sgn,track_id,compactness,mass,r50_kpc,MgFe,lum_age_gyr,log_ssfr,DoR_choice
47647,1139,1139,9.917738914489746,372937392128.0,12.664794921875,0.22660011069772126,7.375326633453369,-10.387456976674514,0.1654442841404753
48763,444,444,9.71858024597168,30219173888.0,3.2196044921875,0.27118549962469574,10.973411560058594,-12.236810692516682,0.1992519646627446
48863,334095,334095,8.807577133178711,4016534272.0,3.39508056640625,0.10553590506105365,5.277688503265381,-10.466790950810937,0.217729568220036
49094,1318206,1318206,9.087321281433105,8608950272.0,3.673553466796875,0.11194046095610735,3.6727335453033447,-10.043463002783078,0.1375457909851937
49227,11876,11876,9.594168663024902,30414387200.0,3.91387939453125,0.14690358706458592,8.047167778015137,,0.2389755723495001
49640,107,107,10.047009468078613,56534061056.0,2.95257568359375,0.18465951175577508,10.271710395812988,-12.7738144109946,0.6251389492466966
49966,33099,33099,8.943696022033691,3445532416.0,2.4871826171875,0.13463750665986304,2.0939061641693115,-9.480247498841774,0.2000411794079114
49977,12930,12930,9.117043495178223,9975450624.0,3.871917724609375,0.09175889131108683,2.989694833755493,-10.020618884114615,0.4486798975142284
51446,537394,537394,8.417647361755371,1922860800.0,3.780364990234375,0.12034534878347786,3.023286819458008,-10.222343263169124,0.1200821222777546
51469,321039,321039,9.557597160339355,24831258624.0,3.6163330078125,0.10591948259308706,1.8550289869308472,-9.563583345784783,0.2890452356327911
51756,214747,214747,9.158965110778809,6198053888.0,2.643585205078125,0.10889320635586555,2.467151403427124,-9.915982671046253,0.0706829354495532
51797,92742,92742,9.506896018981934,22410602496.0,3.650665283203125,0.10806522215031228,3.4039969444274902,-10.055086694931726,0.2275770624751174
52496,1716312,1716312,9.015228271484375,5397675520.0,3.0059814453125,0.1028424362739315,4.016119003295898,-10.23247419492357,0.2865595714180896
52702,100531,100531,10.192682266235352,70199058432.0,2.727508544921875,0.10773744951010275,9.420710563659668,,0.3158364508406278
52802,150450,150450,9.441109657287598,9994972160.0,2.35748291015625,0.08035031031803272,5.8375563621521,-10.648728887468808,0.2305222753254891
53029,335064,335064,9.330995559692383,7125321728.0,2.227783203125,0.12588872741809642,7.89786958694458,,0.3000511201475191
53074,149606,149606,7.868964195251465,1010233984.0,5.71441650390625,0.11309405081105245,2.7321553230285645,-9.69414462030884,0.518144572092215
53387,155287,155287,9.095542907714844,8501582848.0,3.597259521484375,0.09410471595216988,2.989694833755493,-9.990195298582101,0.3088070042067539
