subhalo_id,DoR,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,exsitu_frac
27006095,0.0839042780591355,9.484332,0.6804497,8.463657,0.121848755,3.3666723,-10.031822,
1595266,0.0826506012626771,9.752161,0.70465815,8.695173,0.09850294,2.1573575,-9.547013,
1596229,0.0770978837337244,9.060904,0.5587263,8.222815,0.14504921,2.1573575,-9.758156,
16951477,0.0870779682691253,9.422451,0.41524446,8.799584,0.0961628,3.6130142,-9.961705,
802113,0.2437459568558599,10.790199,0.57797176,9.923242,0.112450995,5.4269867,-10.419225,
3051103,0.0975692419923898,10.15085,0.28603953,9.721791,0.11781416,4.329645,-11.395723,
175798,0.2970008868835427,10.275939,0.3508374,9.749683,0.12344838,9.375921,,
175809,0.3738679267778675,9.4752035,-0.12023278,9.655553,0.080662854,9.973114,,
387174,0.4131196683586049,11.553817,1.092541,9.915006,0.23311347,9.420711,-11.131269,
806698,0.1100058108476428,10.022906,0.3114344,9.555755,0.123940684,4.971627,,
806905,0.0614302356317145,9.721876,0.55458796,8.889995,0.109964915,3.2621636,-10.190837,
806949,0.4834108880209933,9.415179,0.0906626,9.279185,0.12761888,10.570307,,
807901,0.1832174724927462,9.635395,0.3828638,9.061099,0.065670125,7.300678,-10.60174,
808015,0.2112314001888749,10.167884,0.31705898,9.692295,0.10191042,8.002378,,
808775,0.3565256485369037,10.556273,0.49949044,9.807037,0.1351015,9.793956,,
808859,0.1330504347629764,10.05244,0.70269156,8.998403,0.07497912,3.4413214,-10.049206,
1608919,0.1776057032123561,10.196848,0.509856,9.432064,0.06185084,4.650636,-10.302522,
1608987,0.233716085261316,9.8413515,0.3842338,9.265001,0.0556935,7.2708178,-10.680676,
1609056,0.1229906057810319,9.262484,0.700716,8.21141,0.13768175,5.5091,,
3052447,0.1851785336399569,9.220569,0.5308501,8.4242935,0.08761168,7.50223,,
3053172,0.3816242350865047,9.194957,0.47963658,8.475502,0.20941234,10.122412,,
3061307,0.086068924381863,9.250745,0.28129783,8.828798,0.11205918,4.0833035,-10.0248375,
4282692,0.0789031304117412,10.047908,0.58878106,9.164736,0.08602611,3.6652684,-10.213397,
4284244,0.1859353461285755,9.951378,0.42406934,9.315274,0.120970525,7.8680105,,
4286049,0.1752879557029606,9.277284,0.018417409,9.249658,0.08189485,7.569414,,
5807879,0.1786171101950523,9.771955,0.30491576,9.314581,0.07295229,7.673923,,
7732265,0.2096709401890216,10.126203,0.37315074,9.566477,0.079745926,7.793361,,
10177006,0.2982244773693758,9.376427,0.45825508,8.689044,0.08929271,9.151975,,
13233769,0.0984506621015506,9.234377,0.50780255,8.472673,0.108349554,3.0382164,-10.4116955,
13239540,0.0860321996586223,10.352718,0.46455345,9.655889,0.10651914,3.8294966,-10.58286,
13240258,0.0886113295421481,10.031664,0.47632974,9.317169,0.08186356,4.3072505,-10.51137,
17002510,0.0866854887362341,9.537871,0.61327237,8.617963,0.09656254,2.1648226,-9.742405,
17008820,0.3882529099554605,9.665718,0.056404416,9.581112,0.060622714,9.913394,,
33681020,0.0526896398757003,10.147845,0.5726862,9.288816,0.104616635,2.3962348,-9.696902,
41294019,0.1541134176111364,10.526041,0.72133917,9.444033,0.087045066,5.7927666,-10.653471,
1608917,0.0797938147447382,9.5027,0.78503686,8.325145,0.12972668,3.3405452,-10.068673,
3051988,0.0703649446114026,9.396448,0.64291257,8.432079,0.15353248,2.2133446,-9.994174,
4281212,0.0628731157660165,10.160331,0.50418556,9.404053,0.10011368,3.0643437,-10.050282,
10179093,0.1016446870176236,9.362394,0.78774613,8.180775,0.11394576,5.762907,,
13244315,0.1055745214443099,10.217369,0.6406447,9.256402,0.12019641,5.0985303,,
27114075,0.0739311074130348,9.653183,0.254481,9.2714615,0.068189256,2.9486377,-9.99375,
41318720,0.0576504737969466,10.115938,0.68662953,9.085994,0.10680913,2.2581341,-9.870532,
1613062,0.1474386766328531,9.578873,0.30079138,9.127686,0.056330584,3.1688526,-9.71154,
387731,0.1609752061127076,10.387423,0.47522187,9.67459,0.1190737,6.382494,-11.3288355,
7748342,0.0619424453335001,9.768356,0.6526054,8.789448,0.10818263,2.75455,-9.792381,
46448706,0.0828900369012691,9.039185,0.3675013,8.487932,0.10689505,3.1464577,-10.004888,
3061820,0.059895984994242,9.434307,0.32496986,8.946853,0.11480837,2.5977871,-9.961261,
4291540,0.0497266734401109,9.852805,0.5853513,8.974778,0.11371399,1.7841123,-9.585879,
810853,0.1136641254257084,10.579656,0.6804497,9.558981,0.08843153,4.2997856,-10.444927,
4265790,0.0809278197611563,9.20828,0.76841646,8.055655,0.133748,1.8438317,-9.658078,
46352049,0.0663808562452302,9.166296,0.32731527,8.6753235,0.12422336,1.6889349,-9.489013,
388860,0.1266718464583682,10.371139,0.40623656,9.761784,0.08387653,4.2997856,-10.184355,
5818106,0.1183357114120704,9.375535,0.21290386,9.056179,0.07200567,3.7735097,-10.083978,
1618115,0.0847285795208388,10.476904,0.49580327,9.733199,0.114355765,3.430124,-10.378635,
3075511,0.1116785179662577,10.317454,0.4553617,9.634412,0.08445945,3.8518913,-10.240485,
3075865,0.0742279035022632,9.087259,0.4899451,8.352342,0.1315766,2.8702562,-9.879012,
13277532,0.0756419856821306,9.991216,0.50158346,9.23884,0.081546314,3.6727335,-9.916575,
3080140,0.1056752842888411,10.628172,0.6628074,9.633961,0.1048306,5.0238814,-11.739362,
17066950,0.1579084684997125,10.409768,0.34787294,9.887959,0.08717082,7.1215196,-10.914887,
5829120,0.0519510034247672,9.979377,0.5722428,9.121013,0.11073277,1.524707,-9.495185,
816155,0.0675128537605855,9.32744,0.47743484,8.611288,0.09366783,1.7523866,-9.516704,
175553,0.0606344708289126,9.914794,0.7130788,8.845176,0.11268247,1.9091495,-9.534942,
1604424,0.0678916441380258,10.237455,0.5047041,9.480399,0.103265084,3.265896,-10.476641,
4279939,0.160305247042495,9.578873,0.45940706,8.889762,0.060093693,3.8369615,-9.924941,
7729334,0.0600393084354714,9.051123,0.46284476,8.356855,0.14829823,2.086441,-9.431083,
175511,0.2670843001491134,9.29537,0.2327381,8.946263,0.03406986,6.255591,-10.254085,
5859125,0.0550975311513766,9.542758,0.38696095,8.9623165,0.13702425,1.3996698,-9.568544,
3081209,0.084020513498218,10.623355,0.6720708,9.615249,0.09498588,3.109133,-10.158502,
3049124,0.0717744190505911,9.367425,0.44239673,8.70383,0.11441567,3.3666723,-10.039203,
3051681,0.0650326685015932,9.065029,0.525449,8.276855,0.13168111,2.0267217,-9.67727,
805722,0.0894551060759848,10.250983,0.78774613,9.069365,0.08811099,2.7993395,-9.906278,
3050924,0.092465311660038,9.172751,0.29996178,8.722809,0.080925755,2.2581341,-9.698772,
7728158,0.0926029856820717,10.297833,0.4296492,9.653359,0.10555411,3.9340053,-10.693365,
1640231,0.0820247796220372,10.290512,0.80521554,9.082689,0.09315137,3.370405,-9.918594,
10277630,0.1210945609520662,9.128573,0.6845794,8.101705,0.11085338,3.724988,-10.053933,
17058755,0.0969037981643676,9.301765,0.5913357,8.414762,0.09196425,3.191247,-10.154216,
21655533,0.0843324625693738,9.667089,0.5279124,8.875221,0.09117649,3.0382164,-10.066082,
7460,0.1680254670623469,10.268693,0.31304887,9.79912,0.06982271,5.673328,-10.678235,
1621635,0.0770814644723281,9.3358345,0.3617774,8.793168,0.10241186,2.1722875,-9.625452,
3084215,0.1764114171515124,10.164414,0.3617774,9.621748,0.073148705,5.150785,-10.194934,
41445226,0.0494994874253188,9.212198,0.5993278,8.313207,0.20103002,1.2149134,-9.433021,
13305635,0.1152963959177083,9.239902,0.5659874,8.390921,0.09316289,3.8593562,-9.962018,
391203,0.0947091752273886,9.740761,0.6474131,8.769641,0.091701396,2.8590586,-10.002653,
33770765,0.0591818533377378,10.089163,0.6886701,9.056158,0.1214369,2.2805285,-9.895225,
3082159,0.238719512946469,9.02391,0.2886043,8.591003,0.06469493,7.1663094,-10.433899,
5834243,0.0826533368808601,9.097539,0.6236417,8.162076,0.1579954,1.6310818,-9.553632,
17075369,0.0953455406468988,9.177003,0.4894086,8.44289,0.11003309,2.5156732,-9.784726,
27208275,0.0608095727518138,9.008598,0.47243968,8.299939,0.18638435,2.1946821,-9.606324,
816175,0.1101441027973537,10.306709,0.8347981,9.054512,0.08731399,3.5906196,-10.124276,
3081626,0.1284267849496569,9.3299265,0.49791405,8.5830555,0.0684909,3.5234356,-11.125774,
1632045,0.4263576286844333,10.519426,0.5490081,9.695914,0.15149981,10.22692,-11.801147,
7579,0.2153570666005016,10.267321,0.35888693,9.728991,0.045809217,4.8596535,-10.301425,
75650,0.1202678302802518,9.857538,0.45303303,9.177989,0.059884347,3.724988,-10.180255,
